Title,Description,BiocVersion,Genome,SourceType,SourceUrl,SourceVersion,Species,TaxonomyId,Coordinate_1_based,DataProvider,Maintainer,RDataClass,DispatchClass,ResourceName,RDataPath,Tags
ACC_CNASNP-20160128,ACC_CNASNP-20160128 data specific to the ACC cohort of the TCGA project,3.9,NA,TXT,http://gdac.broadinstitute.org/,1.1.38,Homo sapiens,9606,NA,Eli and Edythe L. Broad Institute of Harvard and MIT,Marcel Ramos <marcel.ramos@roswellpark.org>,RaggedExperiment,Rda,ACC_CNASNP-20160128.rda,curatedTCGAData/ACC_CNASNP-20160128.rda,CNASNP
ACC_CNVSNP-20160128,ACC_CNVSNP-20160128 data specific to the ACC cohort of the TCGA project,3.9,NA,TXT,http://gdac.broadinstitute.org/,1.1.38,Homo sapiens,9606,NA,Eli and Edythe L. Broad Institute of Harvard and MIT,Marcel Ramos <marcel.ramos@roswellpark.org>,RaggedExperiment,Rda,ACC_CNVSNP-20160128.rda,curatedTCGAData/ACC_CNVSNP-20160128.rda,CNVSNP
ACC_colData-20160128,ACC_colData-20160128 data specific to the ACC cohort of the TCGA project,3.9,NA,TXT,http://gdac.broadinstitute.org/,1.1.38,Homo sapiens,9606,NA,Eli and Edythe L. Broad Institute of Harvard and MIT,Marcel Ramos <marcel.ramos@roswellpark.org>,DataFrame,Rda,ACC_colData-20160128.rda,curatedTCGAData/ACC_colData-20160128.rda,colData
ACC_GISTIC_AllByGene-20160128,ACC_GISTIC_AllByGene-20160128 data specific to the ACC cohort of the TCGA project,3.9,NA,TXT,http://gdac.broadinstitute.org/,1.1.38,Homo sapiens,9606,NA,Eli and Edythe L. Broad Institute of Harvard and MIT,Marcel Ramos <marcel.ramos@roswellpark.org>,SummarizedExperiment,Rda,ACC_GISTIC_AllByGene-20160128.rda,curatedTCGAData/ACC_GISTIC_AllByGene-20160128.rda,GISTIC
ACC_GISTIC_Peaks-20160128,ACC_GISTIC_Peaks-20160128 data specific to the ACC cohort of the TCGA project,3.9,NA,TXT,http://gdac.broadinstitute.org/,1.1.38,Homo sapiens,9606,NA,Eli and Edythe L. Broad Institute of Harvard and MIT,Marcel Ramos <marcel.ramos@roswellpark.org>,RangedSummarizedExperiment,Rda,ACC_GISTIC_Peaks-20160128.rda,curatedTCGAData/ACC_GISTIC_Peaks-20160128.rda,GISTIC
ACC_GISTIC_ThresholdedByGene-20160128,ACC_GISTIC_ThresholdedByGene-20160128 data specific to the ACC cohort of the TCGA project,3.9,NA,TXT,http://gdac.broadinstitute.org/,1.1.38,Homo sapiens,9606,NA,Eli and Edythe L. Broad Institute of Harvard and MIT,Marcel Ramos <marcel.ramos@roswellpark.org>,SummarizedExperiment,Rda,ACC_GISTIC_ThresholdedByGene-20160128.rda,curatedTCGAData/ACC_GISTIC_ThresholdedByGene-20160128.rda,GISTIC
ACC_metadata-20160128,ACC_metadata-20160128 data specific to the ACC cohort of the TCGA project,3.9,NA,TXT,http://gdac.broadinstitute.org/,1.1.38,Homo sapiens,9606,NA,Eli and Edythe L. Broad Institute of Harvard and MIT,Marcel Ramos <marcel.ramos@roswellpark.org>,list,Rda,ACC_metadata-20160128.rda,curatedTCGAData/ACC_metadata-20160128.rda,metadata
ACC_Methylation-20160128_assays,ACC_Methylation-20160128_assays data specific to the ACC cohort of the TCGA project,3.9,NA,TXT,http://gdac.broadinstitute.org/,1.1.38,Homo sapiens,9606,NA,Eli and Edythe L. Broad Institute of Harvard and MIT,Marcel Ramos <marcel.ramos@roswellpark.org>,SummarizedExperiment,H5File,ACC_Methylation-20160128_assays.h5,curatedTCGAData/ACC_Methylation-20160128_assays.h5,Methylation
ACC_Methylation-20160128_se,ACC_Methylation-20160128_se data specific to the ACC cohort of the TCGA project,3.9,NA,TXT,http://gdac.broadinstitute.org/,1.1.38,Homo sapiens,9606,NA,Eli and Edythe L. Broad Institute of Harvard and MIT,Marcel Ramos <marcel.ramos@roswellpark.org>,RaggedExperiment,Rds,ACC_Methylation-20160128_se.rds,curatedTCGAData/ACC_Methylation-20160128_se.rds,Methylation
ACC_miRNASeqGene-20160128,ACC_miRNASeqGene-20160128 data specific to the ACC cohort of the TCGA project,3.9,NA,TXT,http://gdac.broadinstitute.org/,1.1.38,Homo sapiens,9606,NA,Eli and Edythe L. Broad Institute of Harvard and MIT,Marcel Ramos <marcel.ramos@roswellpark.org>,SummarizedExperiment,Rda,ACC_miRNASeqGene-20160128.rda,curatedTCGAData/ACC_miRNASeqGene-20160128.rda,miRNASeqGene
ACC_Mutation-20160128,ACC_Mutation-20160128 data specific to the ACC cohort of the TCGA project,3.9,NA,TXT,http://gdac.broadinstitute.org/,1.1.38,Homo sapiens,9606,NA,Eli and Edythe L. Broad Institute of Harvard and MIT,Marcel Ramos <marcel.ramos@roswellpark.org>,SummarizedExperiment,Rda,ACC_Mutation-20160128.rda,curatedTCGAData/ACC_Mutation-20160128.rda,Mutation
ACC_RNASeq2GeneNorm-20160128,ACC_RNASeq2GeneNorm-20160128 data specific to the ACC cohort of the TCGA project,3.9,NA,TXT,http://gdac.broadinstitute.org/,1.1.38,Homo sapiens,9606,NA,Eli and Edythe L. Broad Institute of Harvard and MIT,Marcel Ramos <marcel.ramos@roswellpark.org>,DataFrame,Rda,ACC_RNASeq2GeneNorm-20160128.rda,curatedTCGAData/ACC_RNASeq2GeneNorm-20160128.rda,RNASeq2GeneNorm
ACC_RPPAArray-20160128,ACC_RPPAArray-20160128 data specific to the ACC cohort of the TCGA project,3.9,NA,TXT,http://gdac.broadinstitute.org/,1.1.38,Homo sapiens,9606,NA,Eli and Edythe L. Broad Institute of Harvard and MIT,Marcel Ramos <marcel.ramos@roswellpark.org>,SummarizedExperiment,Rda,ACC_RPPAArray-20160128.rda,curatedTCGAData/ACC_RPPAArray-20160128.rda,RPPAArray
ACC_sampleMap-20160128,ACC_sampleMap-20160128 data specific to the ACC cohort of the TCGA project,3.9,NA,TXT,http://gdac.broadinstitute.org/,1.1.38,Homo sapiens,9606,NA,Eli and Edythe L. Broad Institute of Harvard and MIT,Marcel Ramos <marcel.ramos@roswellpark.org>,SummarizedExperiment,Rda,ACC_sampleMap-20160128.rda,curatedTCGAData/ACC_sampleMap-20160128.rda,sampleMap
